순위,시장,종목코드,종목명,현재가,목표가,상승여력(%)
388,KOSPI,079160,CJ CGV,4900.0,6600.0,34.69%
389,KOSPI,000150,두산,1709000.0,2297273.0,34.42%
390,KOSPI,001440,대한전선,39950.0,53667.0,34.34%
391,KOSPI,282330,BGF리테일,129900.0,174214.0,34.11%
392,KOSDAQ,074600,원익QnC,41100.0,55000.0,33.82%
393,KOSDAQ,039440,에스티아이,32900.0,44000.0,33.74%
394,KOSPI,271560,오리온,133800.0,178846.0,33.67%
395,KOSPI,081660,미스토홀딩스,43750.0,58444.0,33.59%
396,KOSPI,016360,삼성증권,122500.0,163556.0,33.52%
397,KOSPI,039570,HDC랩스,7890.0,10500.0,33.08%
398,KOSPI,272450,진에어,6200.0,8250.0,33.06%
399,KOSPI,005500,삼진제약,19540.0,26000.0,33.06%
400,KOSDAQ,025900,동화기업,8270.0,11000.0,33.01%
401,KOSPI,000520,삼일제약,7520.0,10000.0,32.98%
402,KOSPI,138040,메리츠금융지주,111300.0,148000.0,32.97%
403,KOSPI,035420,NAVER,248000.0,329227.0,32.75%
404,KOSPI,139130,iM금융지주,18110.0,24006.0,32.56%
405,KOSPI,011780,금호석유화학,134700.0,178385.0,32.43%
406,KOSPI,002350,넥센타이어,7430.0,9817.0,32.13%
407,KOSPI,005070,코스모신소재,48200.0,63667.0,32.09%
408,KOSPI,181710,NHN,38850.0,51273.0,31.98%
409,KOSPI,036460,한국가스공사,37000.0,48750.0,31.76%
410,KOSPI,079430,현대리바트,6480.0,8533.0,31.68%
411,KOSPI,241560,두산밥캣,68300.0,89688.0,31.31%
412,KOSPI,286940,롯데이노베이트,20250.0,26500.0,30.86%
413,KOSPI,019680,대교,1150.0,1500.0,30.43%
414,KOSPI,002380,KCC,558000.0,727333.0,30.35%
415,KOSPI,454910,두산로보틱스,111400.0,145000.0,30.16%
416,KOSPI,062040,산일전기,251000.0,326500.0,30.08%
417,KOSPI,005940,NH투자증권,32700.0,42528.0,30.06%
418,KOSPI,005880,대한해운,2115.0,2750.0,30.02%
419,KOSPI,005930,삼성전자,337000.0,437500.0,29.82%
420,KOSPI,000990,DB하이텍,161200.0,209000.0,29.65%
421,KOSPI,004990,롯데지주,27300.0,35333.0,29.42%
422,KOSDAQ,035600,KG이니시스,10090.0,13050.0,29.34%
423,KOSPI,051910,LG화학,360500.0,465813.0,29.21%
424,KOSDAQ,086900,메디톡스,89100.0,115000.0,29.07%
425,KOSPI,078930,GS,75600.0,97500.0,28.97%
426,KOSPI,279570,케이뱅크,6980.0,9000.0,28.94%
427,KOSDAQ,031980,피에스케이홀딩스,135600.0,174600.0,28.76%
428,KOSPI,009240,한샘,34950.0,45000.0,28.76%
429,KOSPI,051600,한전KPS,54000.0,69462.0,28.63%
430,KOSDAQ,098460,고영,37400.0,48100.0,28.61%
431,KOSDAQ,041830,인바디,45550.0,58500.0,28.43%
432,KOSPI,004690,삼천리,124600.0,160000.0,28.41%
433,KOSPI,323410,카카오뱅크,23800.0,30458.0,27.97%
434,KOSDAQ,166090,하나머티리얼즈,74400.0,95000.0,27.69%
435,KOSDAQ,102710,이엔에프테크놀로지,51700.0,66000.0,27.66%
436,KOSPI,329180,HD현대중공업,714000.0,911048.0,27.60%
437,KOSPI,028050,삼성E&A,52100.0,66417.0,27.48%
438,KOSDAQ,330860,네패스아크,57700.0,73500.0,27.38%
439,KOSDAQ,357780,솔브레인,427000.0,543778.0,27.35%
